text,study_label,tier
"The equipment will be made at Vaahto 's plant in Hollola , and delivery is scheduled for the first quarter of 2009 .",neutral,allagree
27 January 2011 - Finnish IT solutions provider Affecto Oyj said today it has won a EUR1 .2 m contract from state-owned Lithuanian Social Insurance Institution .,positive,allagree
"Also , a six-year historic analysis is provided for this market .",neutral,allagree
"Cargo traffic fell 1 % year-on-year to 8,561 tonnes in September 2009 .",negative,allagree
Repeats sees 2008 operating profit down y-y,negative,allagree
The fair value of the company 's investment properties went down to EUR2 .769 bn at the end of September 2009 from EUR2 .878 bn a year earlier .,negative,allagree
Revenues at the same time grew 14 percent to 43 million euros .,positive,allagree
"HELSINKI - Shares closed higher , led by Nokia after it announced plans to team up with Sanyo to manufacture 3G handsets .",positive,allagree
Operating profit fell from EUR 7.9 mn in the second quarter of 2005 to EUR 5.1 mn in the second quarter of 2006 .,negative,allagree
Net sales in 2007 are expected to be 10 % up on 2006 .,positive,allagree
Operating profit rose to EUR 5mn from EUR 2.8 mn in the fourth quarter of 2008 .,positive,allagree
"Loss after financial items totalled EUR 9.7 mn , compared to a profit of EUR 1.3 mn in the corresponding period in 2008 .",negative,allagree
- Operating profit rose by 26.9 % to EUR 105.8 ( 83.4 ) million .,positive,allagree
Okmetic expects its net sales for the first half of 2009 to be less than in 2008 .,negative,allagree
"Commission income decreased to EUR 3.8 mn , compared to EUR 4.6 mn in the third quarter of 2007 .",negative,allagree
Turnover surged to EUR61 .8 m from EUR47 .6 m due to increasing service demand .,positive,allagree
The sale will result in a gain of some EUR 60 million in the second quarter of 2010 for Oriola-KD .,positive,allagree
The company expects its net sales in 2008 to increase 5-10 % from 2007 .,positive,allagree
Sales at the unit slumped last year after the industry was hit by poor snowfall .,negative,allagree
The move was triggered by weak demand for forestry equipment and the uncertain market situation .,negative,allagree
"It generated an operating loss of EUR 96.3 mn , down from a profit of EUR 43.9 mn .",negative,allagree
"Department store sales improved by 14 % to EUR 1,070.6 mn .",positive,allagree
Finnish construction group Lemminkainen Oyj said today it has won a contract for the Nevsky Centre shopping mall .,positive,allagree
Earnings per share EPS in 2005 decreased to EUR0 .66 from EUR1 .15 in 2004 .,negative,allagree
The net sales of the whole fiscal year 2008 will be lower than in 2007 and operating profit is estimated to be negative .,negative,allagree
Finnish media company Sanoma Oyj said its 2010 net profit almost tripled to EUR297 .3 m from EUR107 .1 m .,positive,allagree
Rapala VMC Corp said today its net profit rose to EUR18 .9 m for the first nine months of 2010 .,positive,allagree
Turnover rose to EUR21m from EUR17m .,positive,allagree
Both operating profit and turnover for the three-month period increased .,positive,allagree
"Operating profit totaled EUR 3.8 mn , down from EUR 4.5 mn in the corresponding period in 2005 .",negative,allagree
The company is presently examining whether the project would be financially feasible .,neutral,allagree
"In addition , Cramo and Peab have signed exclusive five-year rental agreements in Finland .",positive,allagree
Last year the company raised its turnover to approximately 7 million litas EUR 2 mln .,positive,allagree
Pharmaceuticals group Orion Corp reported a fall in its third-quarter earnings .,negative,allagree
The company 's net sales rose to EUR 16.4 mn from EUR 14.9 mn .,positive,allagree
The improvement was due to the positive performance of its financial investments .,positive,allagree
Operating profit decreased 14.9 % to EUR 15.5 mn from EUR 18.2 mn .,negative,allagree
The company expects net sales in 2010 to decrease from 2009 .,negative,allagree
Net sales grew by 6.4 % to EUR 26.4 mn .,positive,allagree
The company incurred a net loss of EUR 1.5 mn in the first quarter of 2009 .,negative,allagree
Demand for the company 's products has remained stable .,neutral,allagree
The acquisition is not expected to have a material impact on the financial performance of Elisa .,neutral,allagree
Net profit for the period fell to EUR 1.1 mn from EUR 2.3 mn a year earlier .,negative,allagree
The acquisition will be immediately earnings accretive .,positive,allagree
"Operating profit was EUR 4.7 mn , down from EUR 8.5 mn .",negative,allagree
The company plans to invest EUR 20 mn in new production facilities .,neutral,allagree
The transaction is expected to close in the first quarter of 2011 .,neutral,allagree
Revenue declined 5.4 % year-on-year in the third quarter of 2009 .,negative,allagree
Both operating profit and turnover for the period increased .,positive,allagree
Net sales for the period amounted to EUR 54.1 mn .,neutral,allagree
