text,study_label,split
$BYND - JPMorgan reels in expectations on Beyond Meat https://t.co/bd0xbFGjkT,negative,train
$CCL $RCL - Nomura points to bookings weakness at Carnival and Royal Caribbean https://t.co/yGjpT2ReD3,negative,train
"$CX - Cemex cut at Credit Suisse, J.P. Morgan on weak building outlook https://t.co/KN1g4AWFIb",negative,train
$ESS: BTIG Research cuts to Neutral https://t.co/MCyfTsXc2N,negative,train
$FNKO - Funko slides after Piper Jaffray PT cut https://t.co/z37IJmCQzB,negative,train
$FTI - TechnipFMC downgraded at Berenberg but called Top Pick at Deutsche Bank https://t.co/XKcPDilIuU,negative,train
$GM - GM loses a bull https://t.co/tdUfG5HbXy,negative,train
$GM: Deutsche Bank cuts to Hold https://t.co/7Fv1ZiFZBS,negative,train
$GTT: Cowen cuts to Market Perform,negative,train
$HNHAF $HNHPD $AAPL - Trendforce cuts iPhone estimate after Foxconn delay https://t.co/rlnEwzlzzS,negative,train
$HOG - Moody's warns on Harley-Davidson https://t.co/LurHBEadeU,negative,train
"$HXL - Citing aero ties, Wells slashes PT on Hexcel https://t.co/wU5P2i8WBU",negative,train
$I - Intelsat cut to Market Perform at Raymond James https://t.co/YsvsMSQRIb,negative,train
$KRG: Compass Point cuts to Sell https://t.co/MCyfTsXc2N,negative,train
$LK - Muddy Waters goes short Luckin Coffee https://t.co/8yrbwAjLKG,negative,train
$MANT - ManTech downgraded ahead of difficult comps https://t.co/mJ1eSrsFXJ,negative,train
$MDCO: Oppenheimer cuts to Perform,negative,train
$MPLX $MPC - MPLX cut at Credit Suisse on potential dilution from Marathon strategic review https://t.co/0BFQy4ZU6W,negative,train
$MSGN - Imperial downgrades MSG Networks amid sports-free airwaves https://t.co/Ul2S6XNXw8,negative,train
$MTLS - Piper hits the Materialise sidelines https://t.co/qlFxZuhkrt,negative,train
$NCBS: Hovde Group cuts to Market Perform,negative,train
$NFLX - New Netflix bear steps out https://t.co/PdPkgLk0FQ,negative,train
