text,study_label,score,source
Somehow I was blessed with some really amazing friends in my life who love me and send encouragement when I'm not feeling awesome. So lucky.,positive,2.726315789,tweets
Yay. Another good phone interview.,positive,1.443298969,tweets
We were 17 deep last night &amp; the love was so strong everybody felt it. Even the band. I love love love having good ppl in my corner.,positive,2.873684211,tweets
"LMAO, AMAZING!",positive,2.857142857,tweets
Two words that should die this year: Sexting and jeggings. Die die die,negative,-2.154639175,tweets
"Today I'm grateful for good food, good wine and good friends. #gratitude #fb",positive,2.510869565,tweets
"Damn, running late sucks.",negative,-1.360824742,tweets
Opal Divine's with the FSN crew.,positive,0.131313131,tweets
Ugh. I hate hate hate getting blood drawn.,negative,-1.773195876,tweets
Love love love that I just hung with @anonymous @anonymous and @anonymous. Trifecta of awesome.,positive,2.724489796,tweets
Stupid rain. Stupid treadmill hell.,negative,-1.628865979,tweets
I'm starting to wonder if my old landlord really owned the building we were in.,negative,-0.776595745,tweets
I'm not about meeting. I'm about doings.,positive,0.557894737,tweets
Damn! MJ died! A true loss.,negative,-2.531914894,tweets
I love this feeling. :D,positive,1.989690722,tweets
"@anonymous :) ha ha, you are so funny.  today has been awesome.  tomorrow should be even better too.",positive,2.515463918,tweets
Going to brave the rainy Walt Disney World day to find some fun.  Hopefully some dry fun. LOL,positive,1.391752577,tweets
Its photography season in carlsbadistan. Pinhole time.,positive,0.306122449,tweets
just found out the coolest tool combo in #Illustrator! the Pen tool and Pencil tool.,positive,1.737373737,tweets
Piss off rain. Piss off hangover.,negative,-1.927835052,tweets
On a side note is SUPER excited Neil Patrick Harris won an award! :D  THATS MY BOY!!!!!!!,positive,2.957894737,tweets
Another douchebag on the flight. This time he's bitching about his bag. Bitch bitch bitch,negative,-2.81443299,tweets
@anonymous :) :) :) :) :) :),positive,2.453608247,tweets
Adam's dream BCS: #1 Oregon #2 Auburn #3 TCU #4 OU #5 LSU #6 Boise.  7-10 stay the same. Boise's beat no one.,positive,0.139784946,tweets
@anonymous LOL.  Love that! :D,positive,2.284210526,tweets
Love new Glee and Parenthood. Thank goodness @anonymous's homemade antenna works! http://url_removed,positive,1.979381443,tweets
The Weather Channel is gonna start showing weather-related movies on Fridays. Guess weather is slow on Fri nites.,neutral,0.042105263,tweets
Damn it Braves!  Damn Damn Damn!,negative,-2.138297872,tweets
learning some valuable microsoft skills today.,positive,1.368421053,tweets
"Yeah, my head hurts. Gravity is such a damn bitch.",negative,-1.642105263,tweets
Cross section of wknd's bounty. This is exact time for WV strawberries (and less crowded than spots near DC) http://url_removed,positive,0.474226804,tweets
Thinking about the weekend.  Need to get out a bit I think...,positive,0.412371134,tweets
Down on east sixth supervising Team Bartlett.,positive,0.073684211,tweets
bad mood. :'(,negative,-2.294736842,tweets
Anger is ugly.,negative,-1.010526316,tweets
"can someone recommend a good DocBook XML editor, preferably free? Not thrilled with Serna or XXE. would like a nice GUI. #techcomm",positive,0.083333333,tweets
"Stomach filled, yay, back on road, yay",positive,2.12371134,tweets
"Long, but really fun weekend. So happy to be in a fun relationship again. Feel good!!!",positive,2.563829787,tweets
Wowser. Thanks for the good luck lovelies :),positive,2.081632653,tweets
wow,positive,0.705263158,tweets
About to listen to the latest @anonymous. Unerring pumped.,positive,1.092783505,tweets
"Applesauce, bitch.",negative,-0.793814433,tweets
"Wow, @anonymous and @anonymous I love today's PCW: http://url_removed  Nice mix of cute character designs and funny punch line.",positive,1.897959184,tweets
Just discovered the smiley button on my phone! :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-) :-),positive,2.484536082,tweets
First day of ohca tradeshow. Breakfast and then gametime!,positive,1.378947368,tweets
i love jewel. she's beautiful. =),positive,2.690721649,tweets
Congrats on your Outstanding Achievement award D.B. @anonymous! And thank you for sharing such a great speech http://url_removed,positive,2.559139785,tweets
what is that light at the end of the tunnel? the exit or a train?,negative,-0.183673469,tweets
"Bored, Confused, Frustrated :|",negative,-2.268041237,tweets
"Repeat after me ""dcpromo is my friend... dcpromo is my friend""",positive,0.489795918,tweets
Hooray for new opportunities!,positive,2.408163265,tweets
Oh Yay! Butler won! I love it when Florida loses :D,positive,2.0,tweets
Happy B-day Jim Price!! :-) (you are more awesome than you could dream) Hope today was the best ever!!  :-D,positive,2.765957447,tweets
"Is about to head towards the Rock for some football, after a Panera trip in Conway for some brunch action.",positive,0.731958763,tweets
NO NO NO NO NO NO NO NO NO. RT @anonymous: Pedroia heading to Boston for possible knee surgery? WTF WTF,negative,-2.680851064,tweets
My brother just asked if Houston Nutt was calling the plays for Texas. Run up the middle. Run up the middle. Run up the middle.,negative,-0.101010101,tweets
Prepping for the final shot of the film. Wow. Wow wow wow wow wow.,positive,1.959183673,tweets
"@anonymous Ha, that's awesome. Great song. :D",positive,1.649484536,tweets
Watching the @anonymous play ball.,positive,0.309278351,tweets
horrible news tonight. total fucking mess. feel helpless and ill.,negative,-2.494736842,tweets
Navy Wins!! I love football :),positive,2.638297872,tweets
20.5%! Lovin it.,positive,1.645833333,tweets
Yay yay yay yay yay yay yay yay yay yay yay yay #mets,positive,2.505263158,tweets
@anonymous J-E-T-S Suck. Suck! SUCK! #GoPats,negative,-2.315789474,tweets
"This just in: Congress installs windows in their belly-buttons, can now actually see what's going on around them http://url_removed",negative,-0.663265306,tweets
If you are headed up RM620 and see a fat guy carrying a bicycle I could use a lift.,negative,-0.168421053,tweets
"10 Santi Vigneti di Monteforte Soave (Soave Classico): Whoa - Soave got (refreshingly, florally &amp; tropically) *serious* here, people!  $17 B",positive,0.494736842,tweets
WTF?,negative,-1.642105263,tweets
Bad santa BAD,negative,-1.721649485,tweets
Thanks Hermine for ruining my week.,negative,-1.967391304,tweets
Madness. Madness. They call it madness.,negative,-1.103092784,tweets
I also need to order a Mississippi State shirt for the Iron Bowl #farkolemiss,positive,0.402061856,tweets
@anonymous :( That's terribly sad :(,negative,-1.757894737,tweets
ugh. i was doing SO WELL. and since Thursday i've been a crying fucking baby ass mess. suck it depression.,negative,-3.042105263,tweets
"Happy Thanksgiving to you!! Hope you have great meal, great friends and great fun!!",positive,2.8,tweets
Just finished Torchwood: Miracle Day. Fantastic series. Love that they've pulled back on the sci-fi a little. Great story lines.,positive,2.092783505,tweets
I fucking hate you! Why do you have to be a fucking bitch all the time?!?!,negative,-3.510869565,tweets
Drove by an office park on MoPac. Residents: Google and Oracle.,positive,0.168421053,tweets
Lorks! F1 on Sky??!?!???  Nooooooooooooooooooooooooooooooooooooooooooooooooooooooo! Fuck Sky. Fuck fuck fuck. F1 is my ONLY HOBBY.,negative,-2.75257732,tweets
Hope is like amazing love me #tweetlikegratton,positive,1.684782609,tweets
Day of chores has commenced.,negative,-0.257731959,tweets
Damn typos :(,negative,-1.37755102,tweets
"Outside beltway is really diff. My hometown paper misspells former prez &amp; wifes name, &amp; has *classy* comments: http://url_removed",negative,-0.765306122,tweets
people of carlsbadistan will be referred to as carlsbadistanianites.,positive,0.175257732,tweets
lmao. I love #theoffice!,positive,2.510204082,tweets
@anonymous that's super cute. :) happy birthday!,positive,2.587628866,tweets
mock-ups of mock-ups all day,negative,-0.25,tweets
"I have to do it. Briniging out the big guns. 4 O'Clock Power Hour, and tapping 2 Islands to cast Time Walk.",positive,0.70212766,tweets
"@anonymous Wow, it's amazing. Great work.",positive,1.903225806,tweets
"Wow, a fantastic finish to a fantastic game. Very awesome Super Bowl. Congrats for the 6th time, Steelers!",positive,2.87628866,tweets
"This morning was fun, fun, fun, fun... but then this afternoon was spring cleaning. Babysitting a self-cleaning oven = NOT fun.",positive,0.071428571,tweets
Celebrating my wonderful husband. Happy Birthday babe!,positive,2.882978723,tweets
wow perfect skies for this meteor shower! falling every couple minutes here huge and bright... awesome :D,positive,2.568421053,tweets
Hey Apple -I'm yer biggest fan but photo captions on MobileMe galleries sux. Either only 5 words or must click &amp; get 2 much info.Please fix.,negative,-1.021505376,tweets
Good morning my lovely tweeps! :-D,positive,1.873684211,tweets
never thought i would show up to work extra early to work on a powerpoint. #careerfail ?,negative,-0.785714286,tweets
"Bad bus! Smelly bus! Bad, bad bus. No biscuit!",negative,-2.627659574,tweets
Better lucky than good.  #gopats,positive,1.4,tweets
mad day. good mad not bad mad or mad mad. but mad anyway.,negative,-0.646464646,tweets
had the best lucky charm ever tonight. thanks y. :),positive,1.849462366,tweets
"Also, thank goodness for walkthroughs. :D",positive,1.387096774,tweets
